Velocity,LanePos,Steer,SpeedLimit,Accel,Brake,LongAccel,LatAccel,HeadwayTime,HeadwayDist
6.723945556,0.615666667,-2.916111111,11.111,0.123572222,0.025973333,0.373493333,-0.089815556,1.445777778,8.290222222
1.941527273,-0.095318182,2.595227273,11.111,0.110186364,0,1.132886364,0.005259091,0,0
16.86414907,0.520962963,0.209259259,11.111,0.268678704,0,0.783266667,0.009853704,0.455703704,6.78412963
21.03070952,0.50547619,-0.714642857,11.111,0.123107143,0.018464286,-0.372220238,-0.052786905,0.004595238,0.081428571
9.181778889,0.099022222,0.487333333,11.111,0.033651111,0.39947,-1.144335556,0.013375556,3.222666667,8.572333333
1.45E-14,0.313,-1.1,11.111,0,0.475627273,-1.48E-15,1.56E-16,0,1.590181818
4.600751667,0.3266,-61.5855,11.111,0.122875,0.034231667,0.991208333,-1.376315,13.02613333,24.49953333
13.28375,0.63,2.559615385,11.111,0.203153846,0,0.641813462,0.060359615,5.875,80.51996154
18.04434825,0.697263158,0.035877193,11.111,0.156314035,0.017980702,-0.073337719,0.004613158,4.764719298,84.12389474
7.498382895,0.555631579,-1.178289474,20.58444737,0.127775,0.073202632,-0.105701316,-0.078246053,1.151026316,7.932
16.67742857,0.725057143,-16.12828571,24.444,0.213628571,0,0.488324286,-1.149575714,2.357285714,40.14774286
12.7316609,0.046833333,-5.456794872,19.31592308,0.102941667,0.039590385,-0.172564103,-0.49648141,1.747397436,26.10167949
11.58452927,0.657829268,-0.036585366,11.111,0.067963415,0.018512195,-0.310129268,0.003979268,0.542926829,6.295268293
9.990616667,0.497740741,0.365185185,11.111,0.099562963,0,0.176407407,0.010938889,1.246814815,12.60207407
8.704422826,0.460586957,-2.017282609,11.111,0.084718478,0.134858696,-0.751527174,-0.014107609,1.405695652,12.57863043
7.916581395,0.47327907,-49.51104651,9.819023256,0.158206977,0.004355814,0.928288372,-0.778412791,0,0
16.65693553,0.326526316,-0.074473684,11.111,0.204607895,0,0.420819737,-0.012428947,0,0
10.60622262,0.489690476,0.086666667,11.111,0.171980952,0.184170238,-0.419159524,0.004307143,4.532857143,3.233809524
16.54669118,0.491470588,-0.058823529,11.111,0.307082353,0,1.064647059,-0.021708824,11.19041176,187.9624706
15.329204,0.32262,-1.4505,11.111,0.033652,0.015378,-0.548542,-0.04242,2.91646,43.72184
11.01042886,0.324062857,-4.5322,11.06655429,0.114613286,0.062911571,0.052041286,-0.134244714,2.120585714,22.40556286
8.106613429,0.029985714,-0.477157143,14.72995714,0.090952286,0.108172286,-0.053975143,-0.271329286,6.095648571,14.79859714
5.789057143,0.215231429,-4.284185714,11.111,0.055735857,0.146049571,0.093348143,-0.090504571,1.680677143,15.66190857
6.408866071,0.390928571,-0.416130952,11.111,0.100140476,0.024317857,0.095103571,0.006884524,11.85877381,10.7842619
11.03228629,0.205874286,-4.794385714,11.16814,0.113656714,0.075456714,0.080689429,-0.121130571,2.82418,26.63199714
8.129900143,0.16716,-2.238771429,14.34901429,0.075842857,0.287074286,-0.083260857,-0.258016571,1.708125714,25.85586857
6.939191571,0.095402857,-4.939014286,11.111,0.082056571,0.172078,0.032824857,-0.128168286,5.298437143,8.79902
9.320004545,0.059545455,-5.137727273,11.111,0.373504545,6.73E-16,2.411481818,-0.177854545,6.126090909,55.27627273
10.86586143,0.398062857,-4.967028571,11.111,0.107478143,0.049136714,-0.00414,-0.107463286,2.164437143,12.50597143
12.081578,0.350002857,-8.192928571,14.08870286,0.144921714,0.025933857,0.062366286,-0.406169857,1.56356,24.53573143
17.0329007,0.44443662,-0.002323944,11.111,0.244920423,0.001172535,0.475623944,-0.00199507,4.742591549,87.31909859
11.36165014,0.259751429,-5.602128571,12.06335714,0.121420143,0.061185143,0.090655857,-0.095295714,2.642514286,23.41142571
